Id,tweet,sarcastic,,,,
1081209061251710976,so nice not having to worry about finding a student house for next year 💁💁💁💁 instead i just have to worry about literally everything else 😝😝😝😝😝😝,sarcastic,,,,
1043020074670415872,"I do love how #banking works- As a customer you get charged for every infraction, no matter how minor, but when a #bank such as #barclays loses it's systems causing untold mayhem to thousands if not millions, it's 'we're very sorry for the inconvenience'!",sarcastic,,,,
1126482905688100864,Sometimes I listen to the uga fight song and cry because I miss redcoats but besides that I’m fine 😂😂,sarcastic,,,,
1166817091489542144,"Our magical cup run has come to a halt, it was good while it lasted boys #NUFC",sarcastic,,,,
1151161501283209222,I’m pretty sure the first four hours back in my other non tennis job has been as long as the two weeks I’ve spent at Wimbledon. ...,sarcastic,,,,
1160928678760591362,Need about 54 hours of sleep,sarcastic,,,,
12530933817,Because infidelities make everything right.,sarcastic,,,,
786739223273410560,@gitcoingg kappa,sarcastic,,,,
989221703367749632,Just spent God knows how long watching 2 of the Rocky films in order to not have to do an essay - time well spent Ains 🙃🤦,sarcastic,,,,
711006656809795585,"Just watched the best play in existence- Shrek: the Musical @ Woodford county HS. 

I'm just sad it's ogre.",sarcastic,,,,
863853439675236353,my sister is cool!,sarcastic,,,,
231522591154778112,A lot of time could be saved if #olympics #boxing officials would release their pre-determined results in advance.,sarcastic,,,,
805529607109832704,I love when all your teachers throw assignments and projects at you on  dead week and they still expect you to be studying for their final 🙄,sarcastic,,,,
1120519345774518272,"@HarvardCentrist Holy shit, I bet you guys are a lot of fun at parties.",sarcastic,,,,
1168667449367105536,"Oh no! I “accidentally” opened a bottle of wine, and there’s no one here to drink it but me.",sarcastic,,,,
624180585817190401,hooorayyy no sleeeppppp ahhhhh,sarcastic,,,,
1170830093121413121,"@TheRealOJ32 They're not doing a very good job at keeping the flatware away from you, are they?",sarcastic,,,,
833781419151392770,“Milo has exposed their liberal thuggery and we think free speech includes….” @mschlapp now thuggishly denying Milo's Important Perspective. https://t.co/hcIUtMbvjp,sarcastic,,,,
1149806305261084672,"i think i’ve reached the point in my life where i’m ready to settle down 

... and watch Friends from from the first episode until the last in order.",sarcastic,,,,
1125118012439265280,I didn't realize that it was September already 🙄,sarcastic,,,,
194898687514787840,"Tonight we have learned Di Matteo is a v good coach, Messi is human &amp; Geoff Shreeves is heartless. Our opinion of John Terry stays unchanged",sarcastic,,,,
1074741675191361537,Nice to know that my dad lied about insuring me on my own car!?!? He literally only re-insured it because he couldn’t be bothered to sell it or move his car off the drive mind-blown,sarcastic,,,,
1091775658567467008,"@J65039881 @cathymcmorris @foxandfriends Emphasis on “choose,” amiright?",sarcastic,,,,
1059239800656576514,Detroit Become Human is beyond addictive I've almost blitzed a second playthrough already 😂😂 #detroitbecomehuman #theaddictionisreal,sarcastic,,,,
1077682473084043264,"My lecturer has just posted our coursework mark (and therefore module mark) today, thanks, I guess?",sarcastic,,,,
1090664081667829761,God I love wasting money on trying to help other people. Fucking great time. highly recommend.  🙃🔫,sarcastic,,,,
919513553857429504,writing a screenplay at 3am in the morning for my film class ... owning the twilight movie script prepared me for this.. thanks young self,sarcastic,,,,
1072839417470029824,Can the government please wait till after my deadlines are done to start collapsing thanks,sarcastic,,,,
1054666726800015360,Next they’ll have a train that’s not sure if it identifies as a train or a tram 🤦🏻‍♀️,sarcastic,,,,
1008287863044231168,I bet Beyoncé and Jay-Z got to skip the line at the Louvre,sarcastic,,,,
998737916036894722,"im also dating a billionaire now, and it turns out that capitalism can be good, sometimes",sarcastic,,,,
402559198242017280,"Oh brilliant, now I'm accidentally favouriting things oh thank you cursed phone",sarcastic,,,,
1076617239368028163,"Please respect my #DuckRights 🦆🦆🦆🦆🦆
#AnimalJamRaid @QuackityHQ",sarcastic,,,,
1030714630719647744,Look like there's another to add to the collection @AdamColePro @roderickstrong oh yeahhhh https://t.co/wis1yKUZae,sarcastic,,,,
607814449303552000,"Arrive at #Gatwick excited for aspire lounge. No, it's closed for refurbishment. Thanks @ThomasCookUK &amp; @HolidayExtras for not telling us",sarcastic,,,,
1037812884963840006,Feel like I’ve been dragged through a hedge backwards! Thank goodness it’s Friday tomorrow 😄 #firstweekofschool,sarcastic,,,,
1068959877232558080,I love it when myfitnesspal reminds me I haven't logged my dinner whilst I'm sat stuffing steak Philly pizza and dirty fries into my gob! 😂 https://t.co/F47iJur8Mn,sarcastic,,,,
1089990292617478145,Just walked into the girl’s bathroom and there was blood all over the floor ✨✨✨ I love college,sarcastic,,,,
784122842623406080,"now there's someone pissing on my bus, pure bliss",sarcastic,,,,
1086395293942407168,Yay suspected ear infection! I really feel like I'm falling apart lately. In bed with a grain bag over my ear... 😢,sarcastic,,,,
1083865946958282752,"Westlife are on #GrahamNorton and have started STANDING UP, the world really has gone to shit, what are they going to do when there's a key change?!?",sarcastic,,,,
1087341911541719042,"@mizzieashitey @PCDPhotography Totally didn’t happen, it’s a big conspiracy, video can be faked....after all, they’ve been faking the moon landings for years 👀",sarcastic,,,,
1087108641394704395,"@nayrelyk7 @kingsoflyon7 @llrealz @AvonInsider @jameelajamil In other news, global hunger is no longer an issue because you just ate.",sarcastic,,,,
